,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6483301777E-08,-9.6483301777E-08
Units:              ,second,second
YDispRange:         ,8.00000E-02,8.00000E-01
YDispOrg:           ,0.0E+00,2.91999995708466E-01
YInc:               ,1.317319629379E-06,1.3173196748539E-05
YOrg:               ,1.16459288484805E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:30:14,08:30:14
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.64833E-08, -1.7241E-02, -4.565E-02
-9.64708E-08, -1.7236E-02, -4.571E-02
-9.64583E-08, -1.7225E-02, -4.571E-02
-9.64458E-08, -1.7220E-02, -4.581E-02
-9.64333E-08, -1.7220E-02, -4.597E-02
-9.64208E-08, -1.7204E-02, -4.597E-02
-9.64083E-08, -1.7199E-02, -4.597E-02
-9.63958E-08, -1.7194E-02, -4.602E-02
-9.63833E-08, -1.7178E-02, -4.613E-02
-9.63708E-08, -1.7172E-02, -4.608E-02
-9.63583E-08, -1.7157E-02, -4.613E-02
-9.63458E-08, -1.7146E-02, -4.613E-02
-9.63333E-08, -1.7136E-02, -4.613E-02
-9.63208E-08, -1.7130E-02, -4.602E-02
-9.63083E-08, -1.7115E-02, -4.602E-02
-9.62958E-08, -1.7109E-02, -4.597E-02
-9.62833E-08, -1.7088E-02, -4.587E-02
-9.62708E-08, -1.7088E-02, -4.576E-02
-9.62583E-08, -1.7078E-02, -4.560E-02
-9.62458E-08, -1.7072E-02, -4.544E-02
-9.62333E-08, -1.7072E-02, -4.539E-02
-9.62208E-08, -1.7051E-02, -4.539E-02
-9.62083E-08, -1.7046E-02, -4.507E-02
-9.61958E-08, -1.7046E-02, -4.492E-02
-9.61833E-08, -1.7041E-02, -4.481E-02
-9.61708E-08, -1.7030E-02, -4.465E-02
-9.61583E-08, -1.7020E-02, -4.444E-02
-9.61458E-08, -1.7014E-02, -4.434E-02
-9.61333E-08, -1.7020E-02, -4.413E-02
-9.61208E-08, -1.7009E-02, -4.397E-02
-9.61083E-08, -1.7014E-02, -4.386E-02
-9.60958E-08, -1.7009E-02, -4.370E-02
-9.60833E-08, -1.7004E-02, -4.355E-02
-9.60708E-08, -1.6999E-02, -4.349E-02
-9.60583E-08, -1.6999E-02, -4.339E-02
-9.60458E-08, -1.6993E-02, -4.318E-02
-9.60333E-08, -1.7009E-02, -4.318E-02
-9.60208E-08, -1.7004E-02, -4.307E-02
-9.60083E-08, -1.7009E-02, -4.307E-02
-9.59958E-08, -1.7014E-02, -4.307E-02
-9.59833E-08, -1.7020E-02, -4.313E-02
-9.59708E-08, -1.7030E-02, -4.307E-02
-9.59583E-08, -1.7035E-02, -4.313E-02
-9.59458E-08, -1.7041E-02, -4.318E-02
-9.59333E-08, -1.7062E-02, -4.328E-02
-9.59208E-08, -1.7067E-02, -4.334E-02
-9.59083E-08, -1.7078E-02, -4.344E-02
-9.58958E-08, -1.7088E-02, -4.360E-02
-9.58833E-08, -1.7099E-02, -4.360E-02
-9.58708E-08, -1.7120E-02, -4.386E-02
-9.58583E-08, -1.7125E-02, -4.392E-02
-9.58458E-08, -1.7141E-02, -4.407E-02
-9.58333E-08, -1.7157E-02, -4.418E-02
-9.58208E-08, -1.7172E-02, -4.434E-02
-9.58083E-08, -1.7178E-02, -4.439E-02
-9.57958E-08, -1.7188E-02, -4.455E-02
-9.57833E-08, -1.7204E-02, -4.465E-02
-9.57708E-08, -1.7215E-02, -4.465E-02
-9.57583E-08, -1.7225E-02, -4.481E-02
-9.57458E-08, -1.7230E-02, -4.486E-02
-9.57333E-08, -1.7230E-02, -4.497E-02
-9.57208E-08, -1.7236E-02, -4.497E-02
-9.57083E-08, -1.7236E-02, -4.486E-02
-9.56958E-08, -1.7236E-02, -4.481E-02
-9.56833E-08, -1.7225E-02, -4.481E-02
-9.56708E-08, -1.7230E-02, -4.471E-02
-9.56583E-08, -1.7215E-02, -4.476E-02
-9.56458E-08, -1.7215E-02, -4.460E-02
-9.56333E-08, -1.7199E-02, -4.434E-02
-9.56208E-08, -1.7183E-02, -4.418E-02
-9.56083E-08, -1.7167E-02, -4.402E-02
-9.55958E-08, -1.7146E-02, -4.386E-02
-9.55833E-08, -1.7130E-02, -4.381E-02
-9.55708E-08, -1.7109E-02, -4.339E-02
-9.55583E-08, -1.7088E-02, -4.334E-02
-9.55458E-08, -1.7062E-02, -4.313E-02
-9.55333E-08, -1.7041E-02, -4.297E-02
-9.55208E-08, -1.7009E-02, -4.270E-02
-9.55083E-08, -1.6988E-02, -4.260E-02
-9.54958E-08, -1.6956E-02, -4.233E-02
-9.54833E-08, -1.6941E-02, -4.212E-02
-9.54708E-08, -1.6914E-02, -4.207E-02
-9.54583E-08, -1.6893E-02, -4.191E-02
-9.54458E-08, -1.6872E-02, -4.176E-02
-9.54333E-08, -1.6862E-02, -4.165E-02
-9.54208E-08, -1.6835E-02, -4.154E-02
-9.54083E-08, -1.6819E-02, -4.139E-02
-9.53958E-08, -1.6809E-02, -4.144E-02
-9.53833E-08, -1.6804E-02, -4.149E-02
-9.53708E-08, -1.6783E-02, -4.144E-02
-9.53583E-08, -1.6767E-02, -4.144E-02
-9.53458E-08, -1.6767E-02, -4.149E-02
-9.53333E-08, -1.6767E-02, -4.165E-02
-9.53208E-08, -1.6756E-02, -4.160E-02
-9.53083E-08, -1.6761E-02, -4.181E-02
-9.52958E-08, -1.6751E-02, -4.186E-02
-9.52833E-08, -1.6756E-02, -4.202E-02
-9.52708E-08, -1.6756E-02, -4.207E-02
-9.52583E-08, -1.6772E-02, -4.233E-02
-9.52458E-08, -1.6772E-02, -4.244E-02
-9.52333E-08, -1.6772E-02, -4.265E-02
-9.52208E-08, -1.6772E-02, -4.281E-02
-9.52083E-08, -1.6783E-02, -4.297E-02
-9.51958E-08, -1.6788E-02, -4.307E-02
-9.51833E-08, -1.6793E-02, -4.334E-02
-9.51708E-08, -1.6809E-02, -4.349E-02
-9.51583E-08, -1.6804E-02, -4.355E-02
-9.51458E-08, -1.6814E-02, -4.376E-02
-9.51333E-08, -1.6825E-02, -4.381E-02
-9.51208E-08, -1.6819E-02, -4.402E-02
-9.51083E-08, -1.6830E-02, -4.407E-02
-9.50958E-08, -1.6835E-02, -4.418E-02
-9.50833E-08, -1.6835E-02, -4.428E-02
-9.50708E-08, -1.6856E-02, -4.428E-02
-9.50583E-08, -1.6862E-02, -4.439E-02
-9.50458E-08, -1.6856E-02, -4.439E-02
-9.50333E-08, -1.6872E-02, -4.450E-02
-9.50208E-08, -1.6872E-02, -4.439E-02
-9.50083E-08, -1.6888E-02, -4.444E-02
-9.49958E-08, -1.6888E-02, -4.434E-02
-9.49833E-08, -1.6898E-02, -4.444E-02
-9.49708E-08, -1.6904E-02, -4.439E-02
-9.49583E-08, -1.6914E-02, -4.439E-02
-9.49458E-08, -1.6920E-02, -4.434E-02
-9.49333E-08, -1.6930E-02, -4.434E-02
-9.49208E-08, -1.6935E-02, -4.418E-02
-9.49083E-08, -1.6935E-02, -4.418E-02
-9.48958E-08, -1.6946E-02, -4.413E-02
-9.48833E-08, -1.6956E-02, -4.413E-02
