,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6498205685E-08,-9.6498205685E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:31:58,08:31:58
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.64982E-08, -5.7498E-02, -7.142E-02
-9.64857E-08, -5.7508E-02, -7.179E-02
-9.64732E-08, -5.7540E-02, -7.205E-02
-9.64607E-08, -5.7572E-02, -7.226E-02
-9.64482E-08, -5.7603E-02, -7.248E-02
-9.64357E-08, -5.7624E-02, -7.269E-02
-9.64232E-08, -5.7666E-02, -7.295E-02
-9.64107E-08, -5.7709E-02, -7.305E-02
-9.63982E-08, -5.7730E-02, -7.342E-02
-9.63857E-08, -5.7772E-02, -7.342E-02
-9.63732E-08, -5.7803E-02, -7.363E-02
-9.63607E-08, -5.7835E-02, -7.379E-02
-9.63482E-08, -5.7877E-02, -7.395E-02
-9.63357E-08, -5.7888E-02, -7.400E-02
-9.63232E-08, -5.7951E-02, -7.406E-02
-9.63107E-08, -5.7972E-02, -7.406E-02
-9.62982E-08, -5.8025E-02, -7.400E-02
-9.62857E-08, -5.8035E-02, -7.400E-02
-9.62732E-08, -5.8056E-02, -7.390E-02
-9.62607E-08, -5.8067E-02, -7.390E-02
-9.62482E-08, -5.8120E-02, -7.374E-02
-9.62357E-08, -5.8141E-02, -7.353E-02
-9.62232E-08, -5.8151E-02, -7.342E-02
-9.62107E-08, -5.8172E-02, -7.316E-02
-9.61982E-08, -5.8172E-02, -7.290E-02
-9.61857E-08, -5.8193E-02, -7.263E-02
-9.61732E-08, -5.8204E-02, -7.248E-02
-9.61607E-08, -5.8193E-02, -7.205E-02
-9.61482E-08, -5.8214E-02, -7.179E-02
-9.61357E-08, -5.8214E-02, -7.153E-02
-9.61232E-08, -5.8204E-02, -7.116E-02
-9.61107E-08, -5.8183E-02, -7.100E-02
-9.60982E-08, -5.8172E-02, -7.058E-02
-9.60857E-08, -5.8183E-02, -7.037E-02
-9.60732E-08, -5.8151E-02, -7.000E-02
-9.60607E-08, -5.8130E-02, -6.974E-02
-9.60482E-08, -5.8130E-02, -6.963E-02
-9.60357E-08, -5.8099E-02, -6.937E-02
-9.60232E-08, -5.8067E-02, -6.921E-02
-9.60107E-08, -5.8067E-02, -6.900E-02
-9.59982E-08, -5.8025E-02, -6.889E-02
-9.59857E-08, -5.8014E-02, -6.879E-02
-9.59732E-08, -5.7983E-02, -6.879E-02
-9.59607E-08, -5.7951E-02, -6.884E-02
-9.59482E-08, -5.7940E-02, -6.889E-02
-9.59357E-08, -5.7898E-02, -6.884E-02
-9.59232E-08, -5.7898E-02, -6.889E-02
-9.59107E-08, -5.7856E-02, -6.900E-02
-9.58982E-08, -5.7846E-02, -6.905E-02
-9.58857E-08, -5.7835E-02, -6.921E-02
-9.58732E-08, -5.7814E-02, -6.942E-02
-9.58607E-08, -5.7782E-02, -6.958E-02
-9.58482E-08, -5.7793E-02, -6.979E-02
-9.58357E-08, -5.7761E-02, -6.995E-02
-9.58232E-08, -5.7740E-02, -7.010E-02
-9.58107E-08, -5.7751E-02, -7.042E-02
-9.57982E-08, -5.7730E-02, -7.053E-02
-9.57857E-08, -5.7730E-02, -7.074E-02
-9.57732E-08, -5.7709E-02, -7.095E-02
-9.57607E-08, -5.7709E-02, -7.116E-02
-9.57482E-08, -5.7719E-02, -7.137E-02
-9.57357E-08, -5.7698E-02, -7.153E-02
-9.57232E-08, -5.7698E-02, -7.158E-02
-9.57107E-08, -5.7709E-02, -7.174E-02
-9.56982E-08, -5.7709E-02, -7.184E-02
-9.56857E-08, -5.7698E-02, -7.195E-02
-9.56732E-08, -5.7709E-02, -7.205E-02
-9.56607E-08, -5.7730E-02, -7.205E-02
-9.56482E-08, -5.7730E-02, -7.211E-02
-9.56357E-08, -5.7740E-02, -7.211E-02
-9.56232E-08, -5.7740E-02, -7.205E-02
-9.56107E-08, -5.7740E-02, -7.211E-02
-9.55982E-08, -5.7793E-02, -7.211E-02
-9.55857E-08, -5.7793E-02, -7.200E-02
-9.55732E-08, -5.7803E-02, -7.195E-02
-9.55607E-08, -5.7803E-02, -7.195E-02
-9.55482E-08, -5.7835E-02, -7.184E-02
-9.55357E-08, -5.7846E-02, -7.174E-02
-9.55232E-08, -5.7877E-02, -7.168E-02
-9.55107E-08, -5.7888E-02, -7.168E-02
-9.54982E-08, -5.7909E-02, -7.158E-02
-9.54857E-08, -5.7930E-02, -7.147E-02
-9.54732E-08, -5.7962E-02, -7.147E-02
-9.54607E-08, -5.7951E-02, -7.137E-02
-9.54482E-08, -5.8004E-02, -7.132E-02
-9.54357E-08, -5.8014E-02, -7.116E-02
-9.54232E-08, -5.8046E-02, -7.126E-02
-9.54107E-08, -5.8077E-02, -7.116E-02
-9.53982E-08, -5.8088E-02, -7.132E-02
-9.53857E-08, -5.8109E-02, -7.111E-02
-9.53732E-08, -5.8141E-02, -7.111E-02
-9.53607E-08, -5.8162E-02, -7.116E-02
-9.53482E-08, -5.8172E-02, -7.116E-02
-9.53357E-08, -5.8183E-02, -7.121E-02
-9.53232E-08, -5.8183E-02, -7.105E-02
-9.53107E-08, -5.8204E-02, -7.105E-02
-9.52982E-08, -5.8204E-02, -7.111E-02
-9.52857E-08, -5.8214E-02, -7.111E-02
-9.52732E-08, -5.8225E-02, -7.121E-02
-9.52607E-08, -5.8214E-02, -7.111E-02
-9.52482E-08, -5.8225E-02, -7.111E-02
-9.52357E-08, -5.8225E-02, -7.105E-02
-9.52232E-08, -5.8214E-02, -7.111E-02
-9.52107E-08, -5.8214E-02, -7.105E-02
-9.51982E-08, -5.8193E-02, -7.111E-02
-9.51857E-08, -5.8172E-02, -7.089E-02
-9.51732E-08, -5.8141E-02, -7.095E-02
-9.51607E-08, -5.8141E-02, -7.095E-02
-9.51482E-08, -5.8120E-02, -7.084E-02
-9.51357E-08, -5.8088E-02, -7.079E-02
-9.51232E-08, -5.8067E-02, -7.074E-02
-9.51107E-08, -5.8046E-02, -7.063E-02
-9.50982E-08, -5.8004E-02, -7.063E-02
-9.50857E-08, -5.7972E-02, -7.058E-02
-9.50732E-08, -5.7962E-02, -7.053E-02
-9.50607E-08, -5.7930E-02, -7.058E-02
-9.50482E-08, -5.7909E-02, -7.053E-02
-9.50357E-08, -5.7877E-02, -7.047E-02
-9.50232E-08, -5.7856E-02, -7.042E-02
-9.50107E-08, -5.7835E-02, -7.047E-02
-9.49982E-08, -5.7803E-02, -7.047E-02
-9.49857E-08, -5.7793E-02, -7.042E-02
-9.49732E-08, -5.7761E-02, -7.047E-02
-9.49607E-08, -5.7740E-02, -7.058E-02
-9.49482E-08, -5.7740E-02, -7.063E-02
-9.49357E-08, -5.7740E-02, -7.068E-02
-9.49232E-08, -5.7719E-02, -7.068E-02
-9.49107E-08, -5.7698E-02, -7.074E-02
-9.48982E-08, -5.7709E-02, -7.095E-02
